date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:10	33258/33258	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2014:10:09%20GMT	https://thefishsite.com/articles/fishing-industry-launched-online	C:/My%20Web%20Sites/bitm27/thefishsite.com/articles/fishing-industry-launched-online.html	(from )
19:40:23	91/91	---MCZ	200	added ('OK')	text/plain	date:Saturday,%2005-Nov-2022%2014:10:23%20GMT	https://thefishsite.com/robots.txt		(from )
19:40:33	3950/3950	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2013:37:17%20GMT	https://thefishsite.com/apple-touch-icon.png	C:/My%20Web%20Sites/bitm27/thefishsite.com/apple-touch-icon.png	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:40:34	90144/90144	---M--	200	added ('OK')	image/jpeg	etag:%226363f09d-16020%22	https://images.thefishsite.com/fish%2Ffallbacks%2Fspecies%2Fshoal.jpeg?scale.option=fill&scale.width=1200&scale.height=630&crop.width=1200&crop.height=630&crop.y=center&crop.x=center	C:/My%20Web%20Sites/bitm27/images.thefishsite.com/fish/fallbacks/species/shoal72e2.jpg	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:40:43	1164/1164	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2013:37:15%20GMT	https://thefishsite.com/favicon-32x32.png	C:/My%20Web%20Sites/bitm27/thefishsite.com/favicon-32x32.png	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:40:48	564/564	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2013:37:14%20GMT	https://thefishsite.com/favicon-16x16.png	C:/My%20Web%20Sites/bitm27/thefishsite.com/favicon-16x16.png	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:40:55	124486/124486	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2015:35:39%20GMT	https://thefishsite.com/assets/css/main-fish.css?t=20201027	C:/My%20Web%20Sites/bitm27/thefishsite.com/assets/css/main-fish8599.css	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:41:08	4426/4426	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2016%20Sep%202022%2011:52:11%20GMT	https://thefishsite.com/assets/js/tracking.js	C:/My%20Web%20Sites/bitm27/thefishsite.com/assets/js/tracking.js	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:41:11	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/bitm27/www.google-analytics.com/analytics.js	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:41:19	1075/1075	---M--	200	added ('OK')	image/jpeg	etag:%2263650b29-433%22	https://images.thefishsite.com//fish/fallbacks/species/trout.jpeg?thumbnail=40	C:/My%20Web%20Sites/bitm27/images.thefishsite.com/fish/fallbacks/species/trout7735.jpg	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:41:27	27581/27581	---M--	200	added ('OK')	image/jpeg	etag:%2263650b29-6bbd%22	https://images.thefishsite.com/fish/fallbacks/species/catfish.jpeg?thumbnail=40	C:/My%20Web%20Sites/bitm27/images.thefishsite.com/fish/fallbacks/species/catfish7735.jpg	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:41:38	968/968	---M--	200	added ('OK')	image/jpeg	etag:%2263650b29-3c8%22	https://images.thefishsite.com/fish/fallbacks/species/salmon.jpeg?thumbnail=40	C:/My%20Web%20Sites/bitm27/images.thefishsite.com/fish/fallbacks/species/salmon7735.jpg	(from https://thefishsite.com/articles/fishing-industry-launched-online)
19:41:40	973/973	---M--	200	added ('OK')	image/jpeg	etag:%2263650b29-3cd%22	https://images.thefishsite.com//fish/fallbacks/species/shrimp.jpeg?thumbnail=40	C:/My%20Web%20Sites/bitm27/images.thefishsite.com/fish/fallbacks/species/shrimp7735.jpg	(from https://thefishsite.com/articles/fishing-industry-launched-online)
